Geneid	Chr	Start	End	Strand	Length
ENSG00000204616	chr6	30070674	30071566	-	3535
ENSG00000231226	chr6	30073017	30073164	+	549
ENSG00000252228	chr6	30100582	30100743	-	162
ENSG00000204614	chr6	30103885	30104375	+	2495
ENSG00000204613	chr6	30119722	30122263	-	3546
ENSG00000204610	chr6	30130993	30131842	+	2498
ENSG00000234127	chr6	30152232	30154335	-	4377
ENSG00000233892	chr6	30154575	30155414	-	1203
ENSG00000270604	chr6	30201816	30202045	-	759
ENSG00000236475	chr6	30206078	30206482	+	753
ENSG00000243753	chr6	30227361	30227861	+	5505
ENSG00000231074	chr6	30255174	30257271	-	13918
ENSG00000204599	chr6	30294256	30294772	+	4249
ENSG00000248167	chr6	30297359	30297547	+	1292
ENSG00000241370	chr6	30312908	30314341	+	1606
ENSG00000224372	chr6	30319193	30319327	+	135
ENSG00000224486	chr6	30327055	30327688	-	634
ENSG00000236405	chr6	30330889	30332057	-	1169
ENSG00000226577	chr6	30382492	30382742	+	1055
ENSG00000229068	chr6	30434229	30434642	+	1267
ENSG00000224936	chr6	30436659	30438028	+	1370
ENSG00000236603	chr6	30453717	30454367	+	651
ENSG00000204592	chr6	30457244	30458292	+	2975
ENSG00000235781	chr6	30484043	30484388	+	851
ENSG00000204590	chr6	30509154	30514090	-	8646
ENSG00000204576	chr6	30524663	30525227	+	4281
ENSG00000204574	chr6	30539153	30539337	+	4523
ENSG00000216101	chr6	30552109	30552194	+	86
ENSG00000204569	chr6	30568177	30569435	-	5215
ENSG00000222894	chr6	30584006	30584082	-	77
ENSG00000204568	chr6	30585486	30585720	+	1888
ENSG00000137343	chr6	30594619	30595051	+	4035
ENSG00000228415	chr6	30601409	30601675	+	267
ENSG00000204564	chr6	30614816	30615623	+	2118
ENSG00000266183	chr6	30616443	30616536	+	94
ENSG00000204560	chr6	30620896	30621147	-	4008
ENSG00000146112	chr6	30644166	30645065	-	4599
ENSG00000137404	chr6	30655824	30656719	-	2018
ENSG00000230449	chr6	30664583	30665312	-	730
ENSG00000137337	chr6	30667584	30668409	-	8064
ENSG00000224328	chr6	30670844	30670970	+	738
ENSG00000196230	chr6	30687978	30688340	+	3359
ENSG00000272540	chr6	30690882	30691654	-	773
ENSG00000137312	chr6	30695486	30695922	-	3186
ENSG00000201988	chr6	30704081	30704191	-	111
ENSG00000272273	chr6	30710706	30710873	+	527
ENSG00000137331	chr6	30710976	30712331	-	1356
ENSG00000263608	chr6	30718815	30719062	+	248
ENSG00000228022	chr6	30734602	30734728	+	1371
ENSG00000214894	chr6	30766431	30766549	-	2171
ENSG00000237923	chr6	30807303	30807796	-	799
ENSG00000202241	chr6	30832027	30832329	+	303
ENSG00000237775	chr6	30834759	30837610	-	3994
ENSG00000204580	chr6	30844198	30844336	+	9122
ENSG00000264594	chr6	30858660	30858749	+	90
ENSG00000264731	chr6	30874655	30874913	+	259
ENSG00000213780	chr6	30875961	30876180	+	2353
ENSG00000137411	chr6	30876019	30876180	+	8448
ENSG00000196260	chr6	30899130	30899351	-	691
ENSG00000252761	chr6	30900395	30900486	-	92
ENSG00000168631	chr6	30908749	30908858	+	5314
ENSG00000233529	chr6	30913756	30914136	-	605
ENSG00000204544	chr6	30951495	30951938	+	3793
ENSG00000261272	chr6	30978251	30978553	+	6019
ENSG00000228789	chr6	31021227	31021308	+	2183
ENSG00000222895	chr6	31050787	31050886	+	100
ENSG00000204542	chr6	31079000	31080068	-	1140
ENSG00000204540	chr6	31082527	31082668	+	5781
ENSG00000204539	chr6	31082867	31085306	-	2552
ENSG00000204538	chr6	31105313	31106083	-	1150
ENSG00000238211	chr6	31108504	31108690	+	187
ENSG00000204536	chr6	31110216	31110493	-	5086
ENSG00000137310	chr6	31126319	31126499	+	3538
ENSG00000204531	chr6	31132119	31132644	-	2876
ENSG00000204528	chr6	31141512	31141810	-	593
ENSG00000272501	chr6	31162977	31165814	-	2838
ENSG00000206344	chr6	31165537	31165659	+	2354
ENSG00000271821	chr6	31167942	31168415	-	517
ENSG00000255726	chr6	31190690	31190870	+	181
ENSG00000255899	chr6	31192119	31192135	-	284
ENSG00000204525	chr6	31236526	31236950	-	2507
ENSG00000214892	chr6	31243349	31246531	+	3183
ENSG00000227939	chr6	31248094	31249296	+	1203
ENSG00000231402	chr6	31255287	31256741	-	1455
ENSG00000256166	chr6	31261685	31261898	-	536
ENSG00000229836	chr6	31275592	31275824	-	306
ENSG00000234745	chr6	31321649	31322073	-	3012
ENSG00000271581	chr6	31324424	31325414	+	991
ENSG00000228432	chr6	31334129	31334675	-	547
ENSG00000201658	chr6	31337911	31338017	+	107
ENSG00000265294	chr6	31342095	31342180	-	86
ENSG00000230994	chr6	31345196	31345796	+	601
ENSG00000223702	chr6	31348188	31348616	+	429
ENSG00000225851	chr6	31349851	31349855	-	53
ENSG00000272221	chr6	31362066	31363272	-	1207
ENSG00000206337	chr6	31368479	31368540	+	3138
ENSG00000199332	chr6	31369929	31370027	-	99
ENSG00000204520	chr6	31371356	31371479	+	1386
ENSG00000230174	chr6	31409444	31410088	+	2141
ENSG00000233902	chr6	31430505	31431113	-	609
ENSG00000204516	chr6	31462658	31462772	+	2854
ENSG00000201680	chr6	31464466	31464567	-	102
ENSG00000256851	chr6	31483756	31483988	+	233
ENSG00000219797	chr6	31487257	31487427	-	498
ENSG00000225499	chr6	31495891	31496470	+	580
ENSG00000204511	chr6	31496494	31496962	+	955
ENSG00000254870	chr6	31497996	31498227	-	2372
ENSG00000198563	chr6	31497996	31498526	-	7162
ENSG00000201785	chr6	31504151	31504226	-	76
ENSG00000265236	chr6	31508878	31508955	-	78
ENSG00000234006	chr6	31510081	31510173	+	527
ENSG00000213760	chr6	31512239	31513358	-	2147
ENSG00000204498	chr6	31514647	31514750	+	1779
ENSG00000226979	chr6	31539831	31540223	+	1737
ENSG00000232810	chr6	31543344	31543704	+	1676
ENSG00000227507	chr6	31548302	31548940	-	1535
ENSG00000204482	chr6	31553901	31554092	+	2281
ENSG00000204475	chr6	31556672	31557008	-	1212
ENSG00000230622	chr6	31578860	31579133	-	274
ENSG00000204472	chr6	31582961	31583131	+	1276
ENSG00000204469	chr6	31588497	31588635	+	9115
ENSG00000200816	chr6	31590856	31590987	+	132
ENSG00000204463	chr6	31606805	31607003	-	5310
ENSG00000204444	chr6	31620193	31620328	+	1660
ENSG00000204439	chr6	31626075	31628549	-	2475
ENSG00000227198	chr6	31626106	31626456	+	673
ENSG00000204438	chr6	31629006	31630487	-	3528
ENSG00000201207	chr6	31631065	31631178	+	114
ENSG00000204435	chr6	31633013	31633270	+	2933
ENSG00000263020	chr6	31633879	31633985	+	2523
ENSG00000240053	chr6	31637944	31639061	+	3031
ENSG00000204428	chr6	31644461	31644897	-	2621
ENSG00000204427	chr6	31654726	31655072	-	4153
ENSG00000204422	chr6	31654739	31655072	-	2332
ENSG00000266776	chr6	31668806	31668868	-	63
ENSG00000204424	chr6	31674640	31674735	+	1289
ENSG00000250641	chr6	31674681	31674735	+	1266
ENSG00000255552	chr6	31679548	31679892	-	1104
ENSG00000244355	chr6	31683133	31683401	+	614
ENSG00000204420	chr6	31686371	31686460	+	2937
ENSG00000204421	chr6	31686425	31687087	-	1103
ENSG00000213722	chr6	31694815	31695130	-	2538
ENSG00000213719	chr6	31698358	31698780	-	1942
ENSG00000204410	chr6	31707725	31707997	+	7305
ENSG00000255152	chr6	31707797	31707839	+	4140
ENSG00000252743	chr6	31724728	31724830	-	103
ENSG00000228727	chr6	31730576	31730945	+	1557
ENSG00000235663	chr6	31732087	31732497	-	461
ENSG00000204396	chr6	31733367	31733547	-	3703
ENSG00000204394	chr6	31745295	31745439	-	6081
ENSG00000201555	chr6	31746594	31746682	-	89
ENSG00000204392	chr6	31765173	31765659	-	1077
ENSG00000204390	chr6	31777396	31779762	-	2624
ENSG00000204389	chr6	31783291	31785723	+	2433
ENSG00000204388	chr6	31795512	31798031	+	2520
ENSG00000204387	chr6	31802385	31802977	+	1795
ENSG00000201823	chr6	31803040	31803103	+	64
ENSG00000201754	chr6	31804853	31804919	+	67
ENSG00000204386	chr6	31825436	31829968	-	4822
ENSG00000204385	chr6	31830969	31831525	-	3369
ENSG00000204371	chr6	31847536	31848041	-	7289
ENSG00000237080	chr6	31851538	31851588	+	223
ENSG00000166278	chr6	31865562	31865719	+	5536
ENSG00000204366	chr6	31867384	31869102	-	1875
ENSG00000243649	chr6	31895475	31895575	+	6622
ENSG00000244255	chr6	31895475	31895575	+	4069
ENSG00000204356	chr6	31919864	31920175	-	2719
ENSG00000221267	chr6	31924616	31924717	-	102
ENSG00000204351	chr6	31926857	31926991	+	5565
ENSG00000204348	chr6	31937587	31940069	-	2483
ENSG00000204344	chr6	31938868	31939051	+	3954
ENSG00000244731	chr6	31949801	31949949	+	7199
ENSG00000233627	chr6	31967753	31969345	-	2095
ENSG00000204338	chr6	31973413	31974289	+	1971
ENSG00000268923	chr6	31973945	31973975	-	69
ENSG00000248290	chr6	31976391	31976492	-	2038
ENSG00000250535	chr6	31981047	31981063	+	211
ENSG00000224389	chr6	31982539	31982687	+	7116
ENSG00000229776	chr6	32000490	32002082	-	2095
ENSG00000231852	chr6	32006042	32007025	+	2909
ENSG00000168477	chr6	32008931	32009227	-	15166
ENSG00000252512	chr6	32046285	32046405	-	121
ENSG00000213676	chr6	32065953	32065983	-	3660
ENSG00000204315	chr6	32096484	32097631	-	1345
ENSG00000204314	chr6	32116136	32117175	-	4261
ENSG00000221988	chr6	32121218	32121413	+	3268
ENSG00000258388	chr6	32121622	32122181	+	5512
ENSG00000241404	chr6	32132360	32132458	+	2621
ENSG00000204310	chr6	32135989	32137225	-	3631
ENSG00000204308	chr6	32146131	32146428	+	2043
ENSG00000204305	chr6	32148745	32149016	-	2077
ENSG00000204304	chr6	32152512	32154678	-	4350
ENSG00000273333	chr6	32152516	32152612	-	656
ENSG00000213654	chr6	32158543	32159280	-	1854
ENSG00000204301	chr6	32162620	32164198	-	9748
ENSG00000225914	chr6	32223488	32223718	+	3458
ENSG00000204296	chr6	32256303	32256446	-	2457
ENSG00000237285	chr6	32292996	32293955	+	960
ENSG00000223335	chr6	32320654	32320760	+	107
ENSG00000228962	chr6	32358287	32358530	+	610
ENSG00000204290	chr6	32361740	32361834	-	1513
ENSG00000204287	chr6	32407619	32407809	+	1280
ENSG00000196301	chr6	32427598	32427864	-	343
ENSG00000198502	chr6	32485120	32485529	-	1260
ENSG00000251916	chr6	32517717	32517867	-	151
ENSG00000229391	chr6	32520490	32520849	-	1326
ENSG00000196126	chr6	32546546	32546881	-	1229
ENSG00000196735	chr6	32595956	32596047	+	6927
ENSG00000179344	chr6	32627244	32628026	-	4904
ENSG00000223534	chr6	32627657	32627833	+	552
ENSG00000241287	chr6	32627663	32627874	-	309
ENSG00000235040	chr6	32673901	32674732	-	832
ENSG00000232080	chr6	32685782	32686612	+	831
ENSG00000226030	chr6	32698535	32698614	-	356
ENSG00000237541	chr6	32709119	32709302	+	1524
ENSG00000263649	chr6	32717689	32717756	-	68
ENSG00000232629	chr6	32723875	32725081	-	2028
ENSG00000241106	chr6	32780540	32781028	-	1858
ENSG00000250264	chr6	32781544	32781610	-	2705
ENSG00000204267	chr6	32789610	32790095	-	6385
ENSG00000204264	chr6	32808494	32808824	-	2006
ENSG00000204261	chr6	32811863	32812647	+	1951
ENSG00000240065	chr6	32811913	32812051	+	3072
ENSG00000168394	chr6	32812986	32813562	-	4742
ENSG00000234515	chr6	32846948	32847625	-	678
ENSG00000235301	chr6	32864193	32864267	+	75
ENSG00000242574	chr6	32902406	32906742	-	4655
ENSG00000212066	chr6	32904693	32904787	-	95
ENSG00000248993	chr6	32905141	32905233	-	612
ENSG00000204257	chr6	32916390	32916645	-	2534
ENSG00000204256	chr6	32936437	32936833	+	7337
ENSG00000223837	chr6	32938009	32938210	+	338
ENSG00000263756	chr6	32939842	32940108	-	577
ENSG00000204252	chr6	32971955	32974618	-	4012
ENSG00000231389	chr6	33032346	33037663	-	5748
ENSG00000223865	chr6	33043703	33043918	+	2862
ENSG00000224796	chr6	33047228	33047637	+	410
ENSG00000231461	chr6	33059530	33059680	-	733
ENSG00000228688	chr6	33071571	33071609	-	676
ENSG00000224557	chr6	33080228	33080392	+	2814
ENSG00000237398	chr6	33098993	33099119	-	229
ENSG00000230313	chr6	33112560	33112723	+	717
ENSG00000204248	chr6	33130458	33131595	-	6740
ENSG00000204231	chr6	33161365	33162606	-	4007
ENSG00000202441	chr6	33167378	33167472	+	95
ENSG00000112473	chr6	33168222	33169433	+	2845
ENSG00000204228	chr6	33172419	33172896	+	1171
ENSG00000199036	chr6	33175612	33175721	+	110
ENSG00000204227	chr6	33176272	33176421	+	1818
ENSG00000225463	chr6	33183482	33184105	+	624
ENSG00000223457	chr6	33205576	33206128	+	984
ENSG00000272217	chr6	33213852	33214327	-	594
ENSG00000232940	chr6	33217311	33217432	+	1374
ENSG00000223501	chr6	33218049	33218764	-	4503
ENSG00000231500	chr6	33239787	33239899	+	1898
ENSG00000235863	chr6	33244917	33246777	+	2348
ENSG00000227057	chr6	33246885	33247387	-	3115
ENSG00000204220	chr6	33257079	33257697	+	2952
ENSG00000237441	chr6	33259431	33260090	-	4636
ENSG00000231925	chr6	33267471	33269548	-	5056
ENSG00000236104	chr6	33282183	33284762	-	2728
ENSG00000204209	chr6	33286335	33286579	-	3662
ENSG00000229596	chr6	33306755	33307272	+	518
ENSG00000228285	chr6	33333325	33334020	-	696
ENSG00000225644	chr6	33357151	33357252	-	102
ENSG00000237649	chr6	33359313	33359774	+	3345
ENSG00000204194	chr6	33367836	33368333	-	498
ENSG00000112511	chr6	33378176	33378282	+	3596
ENSG00000112514	chr6	33384219	33386094	-	1876
ENSG00000197283	chr6	33387847	33388108	+	7013
ENSG00000264085	chr6	33406108	33406214	+	107
ENSG00000213588	chr6	33422356	33422552	+	2716
ENSG00000242014	chr6	33508471	33508774	+	304
ENSG00000030110	chr6	33540329	33541684	-	2267
ENSG00000204188	chr6	33551515	33551847	+	960
ENSG00000197251	chr6	33553883	33555647	-	2107
ENSG00000096433	chr6	33588142	33588213	+	9870
ENSG00000137288	chr6	33662070	33666434	-	4689
ENSG00000269490	chr6	33663196	33663474	-	279
ENSG00000266509	chr6	33665905	33666011	+	107
ENSG00000161896	chr6	33689444	33690964	-	2822
ENSG00000161904	chr6	33738979	33740555	-	6788
ENSG00000096395	chr6	33762450	33762612	-	566
ENSG00000249346	chr6	33835283	33835603	-	3796
ENSG00000271362	chr6	33850947	33851188	+	242
ENSG00000233183	chr6	33861100	33861167	+	10366
ENSG00000221697	chr6	33967749	33967828	-	80
ENSG00000124493	chr6	33989628	33990647	-	13049
ENSG00000221779	chr6	34036934	34036995	-	62
ENSG00000271231	chr6	34157557	34158856	+	1300
ENSG00000214810	chr6	34187216	34187482	+	311
ENSG00000137309	chr6	34204650	34205094	+	2327
ENSG00000186577	chr6	34214157	34215641	-	2229
ENSG00000220583	chr6	34231088	34231450	-	363
ENSG00000225339	chr6	34247456	34254545	+	7090
ENSG00000272325	chr6	34247456	34256708	-	9905
ENSG00000270800	chr6	34256547	34256708	-	876
ENSG00000124614	chr6	34385231	34385324	-	1637
ENSG00000124507	chr6	34433916	34434047	+	4712
ENSG00000221635	chr6	34438567	34438706	-	140
ENSG00000124664	chr6	34505579	34506229	-	1914
ENSG00000196114	chr6	34544035	34544433	-	399
ENSG00000196821	chr6	34555065	34558377	-	4551
ENSG00000216636	chr6	34584315	34585035	+	721
ENSG00000239059	chr6	34650575	34650679	+	105
ENSG00000265123	chr6	34653134	34653419	-	286
ENSG00000220643	chr6	34654379	34654460	+	280
ENSG00000238484	chr6	34660557	34660660	+	104
ENSG00000272288	chr6	34664094	34664499	+	771
ENSG00000186328	chr6	34683390	34683717	+	328
ENSG00000217130	chr6	34711953	34712450	+	498
ENSG00000124562	chr6	34725183	34725328	+	1277
ENSG00000065060	chr6	34759857	34760071	+	9844
ENSG00000206717	chr6	34789222	34789319	+	98
ENSG00000064995	chr6	34845555	34846497	-	1580
ENSG00000064999	chr6	34857042	34857376	+	6766
ENSG00000187762	chr6	34991299	34991608	+	310
ENSG00000124678	chr6	35085848	35086278	-	3306
ENSG00000264241	chr6	35101231	35101315	+	85
ENSG00000146197	chr6	35182190	35182280	+	7410
ENSG00000272374	chr6	35188147	35192407	-	4261
ENSG00000065029	chr6	35226686	35227163	+	6789
ENSG00000217004	chr6	35246954	35247193	-	328
ENSG00000023892	chr6	35265595	35265729	+	2675
ENSG00000112033	chr6	35310335	35310458	+	4458
ENSG00000227154	chr6	35410821	35410949	+	839
ENSG00000112039	chr6	35420138	35420570	+	2554
ENSG00000198755	chr6	35436185	35437306	+	1501
ENSG00000007866	chr6	35441374	35442934	-	3046
ENSG00000112041	chr6	35465651	35466237	-	2958
ENSG00000228559	chr6	35512409	35512482	+	595
ENSG00000219023	chr6	35523650	35524041	+	392
ENSG00000096060	chr6	35541362	35543719	-	10628
ENSG00000218749	chr6	35575405	35575711	+	307
ENSG00000212579	chr6	35619595	35619722	+	128
ENSG00000265527	chr6	35632494	35632566	-	73
ENSG00000223063	chr6	35668780	35668915	-	136
ENSG00000232909	chr6	35701644	35701804	-	669
ENSG00000157343	chr6	35704809	35705129	+	1418
ENSG00000220734	chr6	35733685	35734083	+	628
ENSG00000196748	chr6	35744371	35744581	+	611
ENSG00000204140	chr6	35748794	35748986	+	790
ENSG00000137392	chr6	35762759	35763054	-	526
ENSG00000197753	chr6	35773070	35773859	+	2961
ENSG00000096063	chr6	35800743	35803265	-	6692
ENSG00000112053	chr6	35911291	35912117	-	6036
ENSG00000271304	chr6	35957292	35957679	-	557
ENSG00000112062	chr6	35995488	35996050	+	6826
ENSG00000237719	chr6	36059768	36060423	-	656
ENSG00000156711	chr6	36095586	36095732	+	2738
ENSG00000221743	chr6	36108275	36108365	-	91
ENSG00000246982	chr6	36114475	36114707	-	1463
ENSG00000096070	chr6	36164521	36164747	+	6618
ENSG00000180316	chr6	36210980	36211038	+	2567
ENSG00000189325	chr6	36283534	36285168	-	3736
ENSG00000010030	chr6	36322419	36322464	-	2369
ENSG00000224666	chr6	36354608	36354707	+	319
ENSG00000179165	chr6	36358328	36359651	-	2108
ENSG00000112078	chr6	36410544	36410888	+	6239
ENSG00000240733	chr6	36418692	36418978	-	287
ENSG00000112079	chr6	36461669	36463691	-	3576
ENSG00000264878	chr6	36478294	36478375	-	82
ENSG00000239964	chr6	36489968	36490275	+	308
ENSG00000112081	chr6	36562145	36562258	+	5283
ENSG00000263894	chr6	36590213	36590289	-	77
ENSG00000238554	chr6	36607322	36607449	-	128
ENSG00000251864	chr6	36640615	36640721	+	107
ENSG00000213500	chr6	36641594	36643047	+	1454
ENSG00000124762	chr6	36644305	36644347	+	2985
ENSG00000255587	chr6	36683256	36683430	+	2747
ENSG00000220349	chr6	36704827	36705763	+	937
ENSG00000124772	chr6	36708552	36710263	-	4067
ENSG00000137168	chr6	36822603	36823809	-	1810
ENSG00000198663	chr6	36839646	36839743	+	7340
ENSG00000232598	chr6	36907847	36908139	-	497
ENSG00000164530	chr6	36922209	36922707	+	2190
ENSG00000137409	chr6	36935917	36936750	-	3126
ENSG00000146192	chr6	36973422	36973661	+	10167
ENSG00000226976	chr6	37012607	37013177	+	571
ENSG00000216412	chr6	37059088	37059582	+	495
ENSG00000137193	chr6	37137979	37138433	+	2977
ENSG00000252687	chr6	37151373	37151444	-	72
ENSG00000172738	chr6	37179956	37180772	-	2737
ENSG00000238375	chr6	37218980	37219082	-	103
ENSG00000065491	chr6	37225548	37225749	+	3462
ENSG00000112130	chr6	37321748	37322051	+	6575
ENSG00000239953	chr6	37328961	37329256	+	296
ENSG00000137200	chr6	37400995	37401153	+	5274
ENSG00000198937	chr6	37450696	37451065	-	619
ENSG00000204110	chr6	37475124	37475480	+	537
ENSG00000229559	chr6	37511329	37511682	-	943
ENSG00000227920	chr6	37512921	37513189	+	998
ENSG00000263926	chr6	37523141	37523198	-	58
ENSG00000112139	chr6	37600284	37605235	-	12385
ENSG00000225945	chr6	37783553	37783657	-	419
ENSG00000156639	chr6	37787275	37787792	+	4036
ENSG00000243313	chr6	37800698	37800961	-	264
ENSG00000200597	chr6	37883349	37883518	+	170
ENSG00000218521	chr6	37970608	37971089	-	482
ENSG00000183826	chr6	38136227	38142958	-	9451
ENSG00000200706	chr6	38175050	38175121	+	72
ENSG00000238716	chr6	38326924	38327005	-	82
ENSG00000226533	chr6	38449468	38449562	+	560
ENSG00000199938	chr6	38533726	38533831	+	106
ENSG00000217227	chr6	38555099	38556305	+	1207
ENSG00000124767	chr6	38643701	38645159	-	2352
ENSG00000236355	chr6	38681827	38682074	-	400
ENSG00000124721	chr6	38683117	38683191	+	15051
ENSG00000244297	chr6	38711862	38712159	+	298
ENSG00000219273	chr6	38730681	38732470	+	1790
ENSG00000212586	chr6	38790083	38790180	-	98
ENSG00000231150	chr6	38890805	38891343	-	1213
ENSG00000220076	chr6	38895807	38895929	+	123
ENSG00000220556	chr6	39007379	39007761	-	383
ENSG00000112164	chr6	39016574	39016694	+	3105
ENSG00000112167	chr6	39071840	39073552	-	2925
ENSG00000217165	chr6	39078097	39080728	+	2632
ENSG00000164626	chr6	39156749	39159531	-	3756
ENSG00000124780	chr6	39266777	39267513	-	2172
ENSG00000095981	chr6	39282474	39283207	-	1860
ENSG00000164627	chr6	39297766	39304324	-	12593
ENSG00000218986	chr6	39321523	39321948	+	426
ENSG00000231276	chr6	39521587	39522719	+	1133
ENSG00000252990	chr6	39588121	39588240	-	120
ENSG00000146122	chr6	39760142	39760241	+	7419
ENSG00000235033	chr6	39849580	39850099	-	6854
ENSG00000124615	chr6	39867354	39867651	-	5174
ENSG00000180211	chr6	39926153	39926572	-	420
ENSG00000220586	chr6	39960554	39960910	+	1099
ENSG00000227131	chr6	40239305	40239699	-	539
ENSG00000204091	chr6	40302693	40302862	+	1615
ENSG00000204092	chr6	40312083	40312495	-	554
ENSG00000226070	chr6	40326483	40327220	-	824
ENSG00000156564	chr6	40359325	40360651	-	3270
ENSG00000252767	chr6	40375592	40375694	+	103
ENSG00000236075	chr6	40469370	40469504	-	292
ENSG00000226454	chr6	40484075	40484183	-	421
ENSG00000237947	chr6	40681150	40681202	-	613
ENSG00000124602	chr6	40994772	40996334	-	2986
ENSG00000124596	chr6	41001366	41001920	-	6523
ENSG00000112212	chr6	41010293	41010547	+	988
ENSG00000124701	chr6	41021043	41021217	+	1151
ENSG00000001167	chr6	41040684	41040823	+	3811
ENSG00000161912	chr6	41068761	41068917	+	5739
ENSG00000161911	chr6	41117080	41117656	-	1483
ENSG00000095970	chr6	41126244	41126518	-	1095
ENSG00000112195	chr6	41158015	41160244	-	3302
ENSG00000184106	chr6	41176292	41176892	-	1230
ENSG00000188056	chr6	41196062	41196228	+	2712
ENSG00000212176	chr6	41207258	41207364	-	107
ENSG00000225690	chr6	41215107	41215361	+	576
ENSG00000124731	chr6	41235664	41235826	-	4329
ENSG00000218809	chr6	41237613	41237977	-	365
ENSG00000206745	chr6	41270204	41270310	-	107
ENSG00000213461	chr6	41275904	41276303	-	400
ENSG00000096264	chr6	41303393	41303666	+	1219
ENSG00000238867	chr6	41323187	41323246	+	60
ENSG00000234753	chr6	41462591	41462631	-	934
ENSG00000226917	chr6	41470182	41470349	+	999
ENSG00000137166	chr6	41514164	41514605	+	6170
ENSG00000266494	chr6	41566461	41566526	+	66
ENSG00000112559	chr6	41604620	41604671	+	2523
ENSG00000230913	chr6	41634644	41635387	+	744
ENSG00000112561	chr6	41651716	41652816	-	5648
ENSG00000268275	chr6	41653964	41653992	+	36
ENSG00000231102	chr6	41688134	41688426	+	408
ENSG00000096088	chr6	41704449	41704742	-	2025
ENSG00000269387	chr6	41732030	41732198	-	169
ENSG00000137218	chr6	41737914	41739271	-	2858
ENSG00000124593	chr6	41748087	41748564	+	4731
ENSG00000214736	chr6	41755400	41755563	+	637
ENSG00000164663	chr6	41757634	41764461	-	11259
ENSG00000268745	chr6	41759148	41759215	+	68
ENSG00000206977	chr6	41800592	41800731	+	140
ENSG00000227516	chr6	41836360	41836644	+	403
ENSG00000124641	chr6	41873092	41875025	-	3278
ENSG00000207371	chr6	41885154	41885264	-	111
ENSG00000112578	chr6	41888926	41889568	+	2248
ENSG00000112576	chr6	41902671	41903845	-	5300
ENSG00000206875	chr6	41986146	41986252	-	107
ENSG00000223946	chr6	41997791	41997814	+	161
ENSG00000137413	chr6	42018251	42018324	+	9286
ENSG00000261068	chr6	42059976	42061997	-	2022
ENSG00000188112	chr6	42068856	42071616	-	6852
ENSG00000048545	chr6	42123144	42123331	+	2317
ENSG00000214732	chr6	42123279	42123331	+	552
ENSG00000112599	chr6	42152139	42152680	-	1113
ENSG00000048544	chr6	42174539	42176110	-	2110
ENSG00000124496	chr6	42192669	42196407	-	7732
ENSG00000221252	chr6	42379938	42380134	-	197
ENSG00000237107	chr6	42467448	42467760	+	313
ENSG00000238611	chr6	42473238	42473344	-	107
ENSG00000024048	chr6	42531800	42532135	+	8997
ENSG00000206848	chr6	42631900	42632006	+	107
ENSG00000112619	chr6	42664340	42666245	-	2974
ENSG00000213435	chr6	42694972	42695438	+	467
ENSG00000124659	chr6	42712219	42713838	-	2157
ENSG00000112624	chr6	42749765	42749839	+	6688
ENSG00000146223	chr6	42847356	42847689	+	7809
ENSG00000221821	chr6	42858005	42858554	-	550
ENSG00000171611	chr6	42883727	42883865	+	1123
ENSG00000137161	chr6	42896938	42897459	+	1704
ENSG00000231113	chr6	42908102	42908344	+	1490
ENSG00000181524	chr6	42924083	42924503	-	421
ENSG00000124713	chr6	42928496	42928711	+	1072
ENSG00000124587	chr6	42931608	42932209	-	3499
ENSG00000112640	chr6	42952237	42952442	+	3314
ENSG00000124733	chr6	42979832	42980359	-	1089
ENSG00000124702	chr6	42981951	42982086	+	2058
ENSG00000124541	chr6	42989383	42989522	+	2212
ENSG00000272223	chr6	43001635	43002143	-	509
ENSG00000240625	chr6	43003936	43004238	-	303
ENSG00000044090	chr6	43005355	43005749	-	5628
ENSG00000137171	chr6	43008515	43008862	+	6421
ENSG00000112651	chr6	43021767	43022224	-	2539
ENSG00000272170	chr6	43042069	43042477	-	409
ENSG00000112655	chr6	43044006	43044305	+	9024
ENSG00000112658	chr6	43139037	43139907	+	4262
ENSG00000112659	chr6	43149913	43149987	+	12251
ENSG00000245261	chr6	43181539	43181647	-	980
ENSG00000112667	chr6	43193367	43193881	-	1250
ENSG00000146216	chr6	43211418	43211446	+	7503
ENSG00000137204	chr6	43263432	43263566	+	3527
ENSG00000146215	chr6	43267448	43267554	-	2453
ENSG00000171467	chr6	43274872	43275634	-	9559
ENSG00000219222	chr6	43277969	43278095	+	127
ENSG00000220614	chr6	43295872	43296214	+	343
ENSG00000179157	chr6	43331217	43331957	+	741
ENSG00000226558	chr6	43331958	43332032	+	75
ENSG00000124574	chr6	43395104	43395127	+	8083
ENSG00000171462	chr6	43418090	43419012	-	2236
ENSG00000207076	chr6	43441924	43442030	+	107
ENSG00000137221	chr6	43445261	43445370	+	5655
ENSG00000204052	chr6	43474707	43475046	-	2121
ENSG00000171453	chr6	43477440	43477546	+	2867
ENSG00000137207	chr6	43479565	43480053	-	3053
ENSG00000271754	chr6	43486918	43487462	-	545
ENSG00000124571	chr6	43490072	43491743	-	8517
ENSG00000219470	chr6	43506559	43507440	-	882
ENSG00000252218	chr6	43511881	43512007	+	127
ENSG00000271970	chr6	43529609	43530156	+	548
ENSG00000170734	chr6	43543887	43544177	+	3663
ENSG00000203362	chr6	43555967	43556483	-	990
ENSG00000172432	chr6	43573053	43573119	-	4616
ENSG00000124688	chr6	43597277	43597506	+	1880
ENSG00000172426	chr6	43612783	43613062	+	2631
